"학교명","학교급","주소"
"장자초등학교","초등학교","경기도 구리시 장자대로 40"
"고헌초등학교","초등학교","울산광역시 북구 화동로 129"
"월계초등학교","초등학교","광주광역시 광산구 첨단내촌로 83"
"악양초등학교","초등학교","경상남도 하동군 악양면 악양서로 349"
"광교호수중학교","중학교","경기도 수원시 영통구 월드컵로 8"
"퇴계중학교","중학교","강원특별자치도 춘천시 안마산로 123"
"대전문창초등학교","초등학교","대전광역시 중구 문창로 55"
"인천아라초등학교","초등학교","인천광역시 서구 서로2로 42(당하동)"
"세명고등학교","고등학교","충청북도 제천시 세명로 88"
"전주양현초등학교","초등학교","전북특별자치도 전주시 덕진구 만성서로 96"
"화접중학교","중학교","경기도 남양주시 별내4로 26"
"능허대중학교","중학교","인천광역시 연수구 송도교육로 31"
"군산영광여자고등학교","고등학교","전북특별자치도 군산시 둔배미길 21"
"백운중학교","중학교","경기도 의왕시 안양판교로 168"
"서울항동초등학교","초등학교","서울특별시 구로구 연동로 178"
"대전중앙초등학교","초등학교","대전광역시 중구 선화로43번길 99"
"웅양중학교","중학교","경상남도 거창군 웅양면 원촌3길 39-13"
"장천초등학교","초등학교","경상북도 구미시 장천면 강동로 236"
"두왕초등학교","초등학교","울산광역시 남구 테크노산업로82번길 17"
"월영초등학교","초등학교","경상남도 창원시 마산합포구 반월북1길 41"
"위례한빛초등학교","초등학교","경기도 성남시 수정구 위례동로 55"
"회화중학교","중학교","경상남도 고성군 회화면 배둔서길 42-35"
"호수초등학교","초등학교","경기도 고양시 일산동구 강촌로 27"
"봉동초등학교양화분교장","초등학교","전북특별자치도 완주군 고산면 양화로 181-7"
"가음초등학교","초등학교","경상북도 의성군 가음면 산성가음로 2194"
"송안초등학교","초등학교","경기도 군포시 송부로73번길 7"
"조현초등학교","초등학교","경기도 양평군 용문면 중원산로 157"
"이월초등학교","초등학교","충청북도 진천군 이월면 송림6길 26"
"산내초등학교","초등학교","경상남도 밀양시 산내면 산내로 335"
"탕정초등학교","초등학교","충청남도 아산시 탕정면 탕정면로 105"
"다율초등학교","초등학교","경기도 파주시 다율로 30"
"지수초등학교","초등학교","경상남도 진주시 지수면 지사로 806"
"온양용화고등학교","고등학교","충청남도 아산시 용화고길 10"
"서울하늘숲초등학교","초등학교","서울특별시 구로구 오리로 1106"
"삼천포중학교","중학교","경상남도 사천시 벌리6길 77"
"서울응암초등학교","초등학교","서울특별시 은평구 가좌로6길 20"
"과천율목초등학교","초등학교","경기도 과천시 과천대로2길 37"
"영광고등학교","고등학교","경상북도 영주시 의상로 62"
"밀성초등학교","초등학교","경상남도 밀양시 석정로 139"
"대구의흥초등학교","초등학교","대구광역시 군위군 의흥면 읍내길 67-17"
"내리숲초등학교","초등학교","경기도 화성시 봉담읍 삼봉안1길 21-7"
"운곡초등학교","초등학교","경상북도 김천시 용전4로3길 7"
"진영장등초등학교","초등학교","경상남도 김해시 진영읍 장등로 120"
"남성중학교","중학교","충청북도 청주시 서원구 청남로 1984"
"안산해솔초등학교","초등학교","경기도 안산시 상록구 해양5로 38"
"축동초등학교","초등학교","경상남도 사천시 축동면 운계길 59-20"
